"Name","State","Notes","User","Tags","Created","Runtime","Sweep","alpha_0","alpha_1","criterion","data","epochs","learning_rate","model","optimizer","regularizer_0","regularizer_1","sensitive_race","test_ratio","train_ratio","max_train_accuracy","max_train_precision","max_train_recall","max_val_accuracy","max_val_precision","max_val_recall","min_train_dpd","min_train_dpr","min_train_edd","min_train_eoo","min_val_dpd","min_val_dpr","min_val_edd","min_val_eoo","test_accuracy","test_dpd","test_dpr","test_edd","test_eoo","test_loss","test_precision","test_recall","train_accuracy","train_dpd","train_dpr","train_edd","train_eoo","train_loss","train_precision","train_recall","val_accuracy","val_dpd","val_dpr","val_edd","val_eoo","val_loss","val_precision","val_recall"
"morning-sky-91","finished","-","kandolazahra","","2023-04-17T02:20:25.000Z","37","","150","200","BCELoss","compas_logistic_regression_v8_all_the_alphas","100","0.0001","LogisticRegression","SGD","DemographicParityLoss()","EqualizedOddsLoss()","      race
0        1
1        1
2        1
3        1
4        1
...    ...
7209     1
7210     1
7211     1
7212     1
7213     1

[7214 rows x 1 columns]","0.66","0.7","0.6383442265795207","0.5935266918873476","1","0.5692934782608695","0.5076628352490421","1","0","0.6591430942426613","0","0.6506935234305925","0","0.6591430942426613","0","0.6506935234305925","0.45836249125262424","0","1","0","1","0.9719595909118652","0.45836249125262424","1","0.44979203802733214","0","1","0","1","1.1153619289398191","0.44979203802733214","1","0.4415760869565218","0","1","0","1","1.0331525802612305","0.4415760869565218","1"
"leafy-thunder-90","finished","-","kandolazahra","","2023-04-17T02:19:43.000Z","36","","150","150","BCELoss","compas_logistic_regression_v8_all_the_alphas","100","0.0001","LogisticRegression","SGD","DemographicParityLoss()","EqualizedOddsLoss()","      race
0        1
1        1
2        1
3        1
4        1
...    ...
7209     1
7210     1
7211     1
7212     1
7213     1

[7214 rows x 1 columns]","0.66","0.7","0.6383442265795207","0.5935266918873476","1","0.5842391304347826","0.519916142557652","1","0","0.6591430942426613","0","0.6506935234305925","0","0.6591430942426613","0","0.6506935234305925","0.45836249125262424","0","1","0","1","0.954159379005432","0.45836249125262424","1","0.44979203802733214","0","1","0","1","1.0899276733398438","0.44979203802733214","1","0.4415760869565218","0","1","0","1","1.0193941593170166","0.4415760869565218","1"
"jolly-fog-89","finished","-","kandolazahra","","2023-04-17T02:19:01.000Z","36","","150","100","BCELoss","compas_logistic_regression_v8_all_the_alphas","100","0.0001","LogisticRegression","SGD","DemographicParityLoss()","EqualizedOddsLoss()","      race
0        1
1        1
2        1
3        1
4        1
...    ...
7209     1
7210     1
7211     1
7212     1
7213     1

[7214 rows x 1 columns]","0.66","0.7","0.6383442265795207","0.5935266918873476","1","0.5991847826086957","0.5348837209302325","1","0","0.6591430942426613","0","0.6506935234305925","0","0.6591430942426613","0","0.6506935234305925","0.45836249125262424","0","1","0","1","0.9321535229682922","0.45836249125262424","1","0.44979203802733214","0","1","0","1","1.0604914426803589","0.44979203802733214","1","0.4415760869565218","0","1","0","1","1.003220796585083","0.4415760869565218","1"
"jumping-butterfly-88","finished","-","kandolazahra","","2023-04-17T02:18:21.000Z","34","","150","50","BCELoss","compas_logistic_regression_v8_all_the_alphas","100","0.0001","LogisticRegression","SGD","DemographicParityLoss()","EqualizedOddsLoss()","      race
0        1
1        1
2        1
3        1
4        1
...    ...
7209     1
7210     1
7211     1
7212     1
7213     1

[7214 rows x 1 columns]","0.66","0.7","0.6383442265795207","0.5935266918873476","1","0.626358695652174","0.5641025641025641","1","0","0.6591430942426613","0","0.6506935234305925","0","0.6591430942426613","0","0.6506935234305925","0.45836249125262424","0","1","0","1","0.90326726436615","0.45836249125262424","1","0.44979203802733214","0","1","0","1","1.0244295597076416","0.44979203802733214","1","0.4415760869565218","0","1","0","1","0.9829297065734864","0.4415760869565218","1"
"giddy-shape-87","finished","-","kandolazahra","","2023-04-17T02:17:39.000Z","36","","150","40","BCELoss","compas_logistic_regression_v8_all_the_alphas","100","0.0001","LogisticRegression","SGD","DemographicParityLoss()","EqualizedOddsLoss()","      race
0        1
1        1
2        1
3        1
4        1
...    ...
7209     1
7210     1
7211     1
7212     1
7213     1

[7214 rows x 1 columns]","0.66","0.7","0.6383442265795207","0.5935266918873476","1","0.625","0.5629820051413882","1","0","0.6591430942426613","0","0.6506935234305925","0","0.6591430942426613","0","0.6506935234305925","0.4576627011896431","0.0020283975659228792","0.9979716024340772","0.005050505050505083","0.9949494949494948","0.8962368369102478","0.4579831932773109","0.998473282442748","0.44979203802733214","0","1","0","1","1.015994906425476","0.44979203802733214","1","0.4415760869565218","0","1","0","1","0.97810161113739","0.4415760869565218","1"
"fiery-spaceship-86","finished","-","kandolazahra","","2023-04-17T02:16:57.000Z","36","","150","30","BCELoss","compas_logistic_regression_v8_all_the_alphas","100","0.0001","LogisticRegression","SGD","DemographicParityLoss()","EqualizedOddsLoss()","      race
0        1
1        1
2        1
3        1
4        1
...    ...
7209     1
7210     1
7211     1
7212     1
7213     1

[7214 rows x 1 columns]","0.66","0.7","0.6383442265795207","0.5935266918873476","1","0.626358695652174","0.5647668393782384","1","0","0.6591430942426613","0","0.6506935234305925","0","0.6591430942426613","0","0.6506935234305925","0.456962911126662","0.0040567951318458695","0.995943204868154","0.010101010101010057","0.98989898989899","0.8886370062828064","0.4576033637000701","0.9969465648854962","0.44979203802733214","0","1","0","1","1.0069992542266846","0.44979203802733214","1","0.4415760869565218","0","1","0","1","0.972917139530182","0.4415760869565218","1"
"sandy-moon-85","finished","-","kandolazahra","","2023-04-17T02:16:14.000Z","37","","150","20","BCELoss","compas_logistic_regression_v8_all_the_alphas","100","0.0001","LogisticRegression","SGD","DemographicParityLoss()","EqualizedOddsLoss()","      race
0        1
1        1
2        1
3        1
4        1
...    ...
7209     1
7210     1
7211     1
7212     1
7213     1

[7214 rows x 1 columns]","0.66","0.7","0.6383442265795207","0.5935266918873476","1","0.626358695652174","0.5647668393782384","1","0","0.6591430942426613","0","0.6506935234305925","0","0.6591430942426613","0","0.6506935234305925","0.4562631210636809","0.014198782961460488","0.9858012170385396","0.025252525252525304","0.9747474747474748","0.8803699016571045","0.4571026722925457","0.9923664122137404","0.44919786096256686","0.0052662375658280025","0.994733762434172","0.008968609865470878","0.9910313901345292","0.9973444938659668","0.4494047619047619","0.9973579920739762","0.44021739130434784","0.0052662375658280025","0.994733762434172","0.008968609865470878","0.9910313901345292","0.9673141837120056","0.4406548431105048","0.9938461538461538"
"mild-glade-84","finished","-","kandolazahra","","2023-04-17T02:15:29.000Z","36","","150","10","BCELoss","compas_logistic_regression_v8_all_the_alphas","100","0.0001","LogisticRegression","SGD","DemographicParityLoss()","EqualizedOddsLoss()","      race
0        1
1        1
2        1
3        1
4        1
...    ...
7209     1
7210     1
7211     1
7212     1
7213     1

[7214 rows x 1 columns]","0.66","0.7","0.6383442265795207","0.5935266918873476","0.9973579920739762","0.6277173913043478","0.5662337662337662","0.9938461538461538","0.0052662375658280025","0.6591430942426613","0.008968609865470878","0.6506935234305925","0.0052662375658280025","0.6591430942426613","0.008968609865470878","0.6506935234305925","0.4555633310006998","0.02124399715677605","0.97873328199065","0.03316535154609557","0.966761917419812","0.8713120818138123","0.4565984474241355","0.9877862595419848","0.4482075658546247","0.01081821144136541","0.9891785486031266","0.01880776831651021","0.9811804841704876","0.9869020581245422","0.4487969775303241","0.993835314839278","0.4375","0.01081821144136541","0.9891785486031266","0.01880776831651021","0.9811804841704876","0.9612081050872804","0.43912448700410395","0.9876923076923076"
"crimson-oath-83","finished","-","kandolazahra","","2023-04-17T02:14:48.000Z","35","","150","1","BCELoss","compas_logistic_regression_v8_all_the_alphas","100","0.0001","LogisticRegression","SGD","DemographicParityLoss()","EqualizedOddsLoss()","      race
0        1
1        1
2        1
3        1
4        1
...    ...
7209     1
7210     1
7211     1
7212     1
7213     1

[7214 rows x 1 columns]","0.66","0.7","0.6383442265795207","0.5935266918873476","0.992514310876266","0.625","0.5639686684073107","0.9846153846153848","0.01666958651450756","0.6591430942426613","0.02038091399203912","0.6506935234305925","0.01666958651450756","0.6591430942426613","0.02038091399203912","0.6506935234305925","0.4555633310006998","0.02935758742046779","0.9706110140903124","0.04326636164710562","0.9566387559808612","0.8623506426811218","0.4564755838641189","0.9847328244274808","0.4493959199841553","0.021350686573021305","0.9786429190913774","0.027776378181981087","0.9722062724250258","0.9766934514045716","0.44921173418479343","0.991193306913254","0.4375","0.021350686573021305","0.9786429190913774","0.027776378181981087","0.9722062724250258","0.9551985263824464","0.43878954607977994","0.9815384615384616"
"jolly-star-82","finished","-","kandolazahra","","2023-04-17T02:14:08.000Z","34","","150","0","BCELoss","compas_logistic_regression_v8_all_the_alphas","100","0.0001","LogisticRegression","SGD","DemographicParityLoss()","EqualizedOddsLoss()","      race
0        1
1        1
2        1
3        1
4        1
...    ...
7209     1
7210     1
7211     1
7212     1
7213     1

[7214 rows x 1 columns]","0.66","0.7","0.6383442265795207","0.5935266918873476","0.992514310876266","0.625","0.5639686684073107","0.9846153846153848","0.01666958651450756","0.6591430942426613","0.02038091399203912","0.6506935234305925","0.01666958651450756","0.6591430942426613","0.02038091399203912","0.6506935234305925","0.4555633310006998","0.02935758742046779","0.9706110140903124","0.04326636164710562","0.9566387559808612","0.8613016605377197","0.4564755838641189","0.9847328244274808","0.4493959199841553","0.021350686573021305","0.9786429190913774","0.027776378181981087","0.9722062724250258","0.9755055904388428","0.44921173418479343","0.991193306913254","0.4375","0.021350686573021305","0.9786429190913774","0.027776378181981087","0.9722062724250258","0.9544963240623474","0.43878954607977994","0.9815384615384616"
